dataset,sample_hash,ok,fail_reason,note,gt_mapping_mode,face_crop_total_pixels,gt_skin_pixels,gt_bg_pixels,gt_hair_pixels,gt_other_pixels,gt_skin_ratio,gt_bg_ratio,gt_hair_ratio,gt_other_ratio
fasseg,3ccfb65e9d0102210b44,true,,,jpeg_quantized_3band,16384,10919,1213,4252,0,0.666,0.074,0.26,0
fasseg,c9029882de9826977e38,true,,,jpeg_quantized_3band,16384,9975,1082,5327,0,0.609,0.066,0.325,0
fasseg,716b5b663eb25ecee2b7,true,,,jpeg_quantized_3band,16384,10586,815,4983,0,0.646,0.05,0.304,0
fasseg,76d47437c3effa9e5833,true,,,jpeg_quantized_3band,16384,9877,700,5807,0,0.603,0.043,0.354,0
fasseg,23050e77db571bae2b25,true,,,jpeg_quantized_3band,16384,11225,736,4423,0,0.685,0.045,0.27,0
fasseg,d42ca83b2ee6e27c168a,true,,,jpeg_quantized_3band,16384,10759,722,4903,0,0.657,0.044,0.299,0
fasseg,485734a2d36a71759e22,true,,,jpeg_quantized_3band,16384,8044,808,7532,0,0.491,0.049,0.46,0
fasseg,0bb932eea409e2c2e6e4,true,,,jpeg_quantized_3band,16384,13917,856,1611,0,0.849,0.052,0.098,0
fasseg,0635cbd45b6a3c2d6668,true,,,jpeg_quantized_3band,16384,7729,740,7915,0,0.472,0.045,0.483,0
fasseg,626fb82add0bbb868801,true,,,jpeg_quantized_3band,16384,11648,866,3870,0,0.711,0.053,0.236,0
fasseg,839bb918b45229ce3699,true,,,jpeg_quantized_3band,16384,11246,789,4349,0,0.686,0.048,0.265,0
fasseg,1a6872a601cb6fa24e7b,true,,,jpeg_quantized_3band,16384,12173,935,3276,0,0.743,0.057,0.2,0
fasseg,20d4a1903718a1c60112,true,,,jpeg_quantized_3band,16384,11905,927,3552,0,0.727,0.057,0.217,0
fasseg,bc8725147f5fc25d614d,true,,,jpeg_quantized_3band,16384,12376,981,3027,0,0.755,0.06,0.185,0
fasseg,f4f706870531da42f8cd,true,,,jpeg_quantized_3band,16384,12244,866,3274,0,0.747,0.053,0.2,0
fasseg,496a1f609d21c5d5e5bd,true,,,jpeg_quantized_3band,16384,10560,786,5038,0,0.645,0.048,0.307,0
fasseg,4381a7495eef1008ed06,true,,,jpeg_quantized_3band,16384,12136,842,3406,0,0.741,0.051,0.208,0
fasseg,b889a82fa85319bb1dff,true,,,jpeg_quantized_3band,16384,8911,745,6728,0,0.544,0.045,0.411,0
fasseg,e0eeceebc88dae90dfa0,true,,,jpeg_quantized_3band,16384,9142,616,6626,0,0.558,0.038,0.404,0
fasseg,f2f5ffb707f930e593d7,true,,,jpeg_quantized_3band,16384,10357,855,5172,0,0.632,0.052,0.316,0
fasseg,196e72dfcd5202962e76,true,,,jpeg_quantized_3band,16384,8876,626,6882,0,0.542,0.038,0.42,0
fasseg,818097573af0671d393b,true,,,jpeg_quantized_3band,16384,11984,865,3535,0,0.731,0.053,0.216,0
fasseg,c441498537debd5a1b5a,true,,,jpeg_quantized_3band,16384,12532,765,3087,0,0.765,0.047,0.188,0
fasseg,507b48f5b7f5d5bdd9fa,true,,,jpeg_quantized_3band,16384,9389,798,6197,0,0.573,0.049,0.378,0
fasseg,1f08ab185539db043f7b,true,,,jpeg_quantized_3band,16384,10635,658,5091,0,0.649,0.04,0.311,0
fasseg,e6a05fb3b1cc5ece853a,true,,,jpeg_quantized_3band,16384,11268,920,4196,0,0.688,0.056,0.256,0
fasseg,fd80ab091e940aa7a45c,true,,,jpeg_quantized_3band,16384,10278,807,5299,0,0.627,0.049,0.323,0
fasseg,29adc519396875b91ef0,true,,,jpeg_quantized_3band,16384,9599,762,6023,0,0.586,0.047,0.368,0
fasseg,5b788ad676cb3df2d9a7,true,,,jpeg_quantized_3band,16384,7522,788,8074,0,0.459,0.048,0.493,0
fasseg,1f5c528fbd7ee1d057c6,true,,,jpeg_quantized_3band,16384,8338,828,7218,0,0.509,0.051,0.441,0
fasseg,c97f3a19a88d4f8c7f29,true,,,jpeg_quantized_3band,16384,12639,893,2852,0,0.771,0.055,0.174,0
fasseg,7af857bd0f5754635ad7,true,,,jpeg_quantized_3band,16384,9609,932,5843,0,0.586,0.057,0.357,0
fasseg,13d7e2ecfeb942cf3b18,true,,,jpeg_quantized_3band,16384,9448,669,6267,0,0.577,0.041,0.383,0
fasseg,d4971532c6482062fff2,true,,,jpeg_quantized_3band,16384,13155,852,2377,0,0.803,0.052,0.145,0
fasseg,eea7285a4367746c04fc,true,,,jpeg_quantized_3band,16384,15233,968,183,0,0.93,0.059,0.011,0
fasseg,7514a8ffb384ab728959,true,,,jpeg_quantized_3band,16384,9927,814,5643,0,0.606,0.05,0.344,0
fasseg,efd7bce9389fcbaa400a,true,,,jpeg_quantized_3band,16384,10016,804,5564,0,0.611,0.049,0.34,0
fasseg,1013264b48dc10b27813,true,,,jpeg_quantized_3band,16384,10644,864,4876,0,0.65,0.053,0.298,0
fasseg,05dbd6c2b2c0e6b9228f,true,,,jpeg_quantized_3band,16384,7340,664,8380,0,0.448,0.041,0.511,0
fasseg,4cc88cb6d26c05791e27,true,,,jpeg_quantized_3band,16384,11008,797,4579,0,0.672,0.049,0.279,0
fasseg,476515ed93271dc65412,true,,,jpeg_quantized_3band,16384,11937,789,3658,0,0.729,0.048,0.223,0
fasseg,9c28f76a0e9b20e0fc21,true,,,jpeg_quantized_3band,16384,7733,718,7933,0,0.472,0.044,0.484,0
fasseg,5dc9041d0cedac653454,true,,,jpeg_quantized_3band,16384,13069,874,2441,0,0.798,0.053,0.149,0
fasseg,72fead41f4866b99ce62,true,,,jpeg_quantized_3band,16384,11020,907,4457,0,0.673,0.055,0.272,0
fasseg,e6b2075d1c353199c66e,true,,,jpeg_quantized_3band,16384,7610,785,7989,0,0.464,0.048,0.488,0
fasseg,af646c214c161e53ee57,true,,,jpeg_quantized_3band,16384,7412,996,7976,0,0.452,0.061,0.487,0
fasseg,7f5bb07e315ea527a574,true,,,jpeg_quantized_3band,16384,8948,794,6642,0,0.546,0.048,0.405,0
fasseg,06e3acd9ae603fbd33f6,true,,,jpeg_quantized_3band,16384,11084,1066,4234,0,0.677,0.065,0.258,0
fasseg,3c12ef4ad26bcfae3262,true,,,jpeg_quantized_3band,16384,9938,950,5496,0,0.607,0.058,0.335,0
fasseg,cb1a2867f94e627a4519,true,,,jpeg_quantized_3band,16384,12563,895,2926,0,0.767,0.055,0.179,0
fasseg,49f328e3945c989b321a,true,,,jpeg_quantized_3band,16384,11431,953,4000,0,0.698,0.058,0.244,0
fasseg,2068749915fcdfe7025d,true,,,jpeg_quantized_3band,16384,8699,796,6889,0,0.531,0.049,0.42,0
fasseg,5e8ab524aac7432beff8,true,,,jpeg_quantized_3band,16384,9472,538,6374,0,0.578,0.033,0.389,0
fasseg,9089743eb95e211b4d55,true,,,jpeg_quantized_3band,16384,8055,651,7678,0,0.492,0.04,0.469,0
fasseg,908960079d55ef72ee8d,true,,,jpeg_quantized_3band,16384,12575,647,3162,0,0.768,0.039,0.193,0
fasseg,0f5e96c64b985fcbdd49,true,,,jpeg_quantized_3band,16384,12231,769,3384,0,0.747,0.047,0.207,0
fasseg,4928fb3c1287ada24161,true,,,jpeg_quantized_3band,16384,12034,763,3587,0,0.734,0.047,0.219,0
fasseg,afff28a3dc8a12993523,true,,,jpeg_quantized_3band,16384,8650,743,6991,0,0.528,0.045,0.427,0
fasseg,775b7aaf34234ba7e529,true,,,jpeg_quantized_3band,16384,9671,598,6115,0,0.59,0.036,0.373,0
fasseg,a66b2854f1e3ed0141ca,true,,,jpeg_quantized_3band,16384,10700,697,4987,0,0.653,0.043,0.304,0
fasseg,76a519470b53f3977d87,true,,,jpeg_quantized_3band,16384,9597,806,5981,0,0.586,0.049,0.365,0
fasseg,55ab7ecc2efacbc40e1c,true,,,jpeg_quantized_3band,16384,10384,608,5392,0,0.634,0.037,0.329,0
fasseg,ba95e48b1397146aa952,true,,,jpeg_quantized_3band,16384,11868,986,3530,0,0.724,0.06,0.215,0
fasseg,b49d4cc8093a7c975cd7,true,,,jpeg_quantized_3band,16384,11352,631,4401,0,0.693,0.039,0.269,0
fasseg,623cffea0d1638ac06d3,true,,,jpeg_quantized_3band,16384,9175,847,6362,0,0.56,0.052,0.388,0
fasseg,91aa969ee0b233a8cbd0,true,,,jpeg_quantized_3band,16384,11218,863,4303,0,0.685,0.053,0.263,0
fasseg,0126836c94edd06cc2e5,true,,,jpeg_quantized_3band,16384,9140,717,6527,0,0.558,0.044,0.398,0
fasseg,51b6efe7a33e1c38f573,true,,,jpeg_quantized_3band,16384,9522,700,6162,0,0.581,0.043,0.376,0
fasseg,161b6e22b911c4ef9bcb,true,,,jpeg_quantized_3band,16384,13148,821,2415,0,0.802,0.05,0.147,0
fasseg,43485c65dba46d9f22d0,true,,,jpeg_quantized_3band,16384,8994,664,6726,0,0.549,0.041,0.411,0
fasseg,a5bb65877705f7909f08,true,,,jpeg_quantized_3band,16384,11683,792,3909,0,0.713,0.048,0.239,0
fasseg,078af4c7f3061270f14f,true,,,jpeg_quantized_3band,16384,10305,701,5378,0,0.629,0.043,0.328,0
fasseg,53285533e00a3fdf206d,true,,,jpeg_quantized_3band,16384,8186,741,7457,0,0.5,0.045,0.455,0
fasseg,3fd8483965ac5b86cb77,true,,,jpeg_quantized_3band,16384,10088,662,5634,0,0.616,0.04,0.344,0
fasseg,72363a925edc0516581f,true,,,jpeg_quantized_3band,16384,12797,684,2903,0,0.781,0.042,0.177,0
fasseg,c3094039532ee7cef44a,true,,,jpeg_quantized_3band,16384,11444,747,4193,0,0.698,0.046,0.256,0
fasseg,3b348276699d027c957e,true,,,jpeg_quantized_3band,16384,11399,697,4288,0,0.696,0.043,0.262,0
fasseg,5a49ef14d4832c47ef0c,true,,,jpeg_quantized_3band,16384,10825,735,4824,0,0.661,0.045,0.294,0
fasseg,653fa4c1be8c8eff2056,true,,,jpeg_quantized_3band,16384,8245,718,7421,0,0.503,0.044,0.453,0
fasseg,4c5daef65f1fe52faa73,true,,,jpeg_quantized_3band,16384,12788,728,2868,0,0.781,0.044,0.175,0
fasseg,ba25466225cfded0a542,true,,,jpeg_quantized_3band,16384,8457,582,7345,0,0.516,0.036,0.448,0
fasseg,f8b6ce33d3a1e99cfd7c,true,,,jpeg_quantized_3band,16384,12244,667,3473,0,0.747,0.041,0.212,0
fasseg,b7a4f730ff30fa2420bf,true,,,jpeg_quantized_3band,16384,9535,791,6058,0,0.582,0.048,0.37,0
fasseg,09e4aee85d9f54d6838c,true,,,jpeg_quantized_3band,16384,8806,809,6769,0,0.537,0.049,0.413,0
fasseg,c0e0d30f8668fda27862,true,,,jpeg_quantized_3band,16384,12283,737,3364,0,0.75,0.045,0.205,0
fasseg,71cba8faca5f02c1b428,true,,,jpeg_quantized_3band,16384,11456,712,4216,0,0.699,0.043,0.257,0
fasseg,af61ce80beae6a4d9b7f,true,,,jpeg_quantized_3band,16384,7468,813,8103,0,0.456,0.05,0.495,0
fasseg,c1298a1e5de7ad4ef38b,true,,,jpeg_quantized_3band,16384,8908,702,6774,0,0.544,0.043,0.413,0
fasseg,fa16479549f4b704663c,true,,,jpeg_quantized_3band,16384,11498,647,4239,0,0.702,0.039,0.259,0
fasseg,e1731193ca3a4e567098,true,,,jpeg_quantized_3band,16384,11896,722,3766,0,0.726,0.044,0.23,0
fasseg,baf2983f15026c71d1db,true,,,jpeg_quantized_3band,16384,11112,822,4450,0,0.678,0.05,0.272,0
fasseg,ec621bdfa73b74aa94bf,true,,,jpeg_quantized_3band,16384,9260,710,6414,0,0.565,0.043,0.391,0
fasseg,8c1be26ed3afd0f5aa4a,true,,,jpeg_quantized_3band,16384,9918,695,5771,0,0.605,0.042,0.352,0
fasseg,ec784710783abb7d6eca,true,,,jpeg_quantized_3band,16384,8602,661,7121,0,0.525,0.04,0.435,0
fasseg,544965f6c54b8166dfab,true,,,jpeg_quantized_3band,16384,14013,976,1395,0,0.855,0.06,0.085,0
fasseg,870c392523676910adbc,true,,,jpeg_quantized_3band,16384,10588,892,4904,0,0.646,0.054,0.299,0
fasseg,17c4effc3ca320c75a81,true,,,jpeg_quantized_3band,16384,7859,612,7913,0,0.48,0.037,0.483,0
fasseg,7b49ebcdc3aa448399a5,true,,,jpeg_quantized_3band,16384,7733,610,8041,0,0.472,0.037,0.491,0
fasseg,70a315eee88ef8557535,true,,,jpeg_quantized_3band,16384,5634,633,10117,0,0.344,0.039,0.617,0
fasseg,80654eb50d1d421d8179,true,,,jpeg_quantized_3band,16384,13216,776,2392,0,0.807,0.047,0.146,0
fasseg,dff704ee3e17bec4cea0,true,,,jpeg_quantized_3band,16384,11401,820,4163,0,0.696,0.05,0.254,0
fasseg,a70ed3f733802a4c043f,true,,,jpeg_quantized_3band,16384,13345,768,2271,0,0.815,0.047,0.139,0
fasseg,e90ab632e941d55710be,true,,,jpeg_quantized_3band,16384,8526,716,7142,0,0.52,0.044,0.436,0
fasseg,0fca77b50fdc484feb60,true,,,jpeg_quantized_3band,16384,9590,862,5932,0,0.585,0.053,0.362,0
fasseg,3499fe553e70f4e4dba1,true,,,jpeg_quantized_3band,16384,12748,771,2865,0,0.778,0.047,0.175,0
fasseg,9e9c93cf9db404ae97a2,true,,,jpeg_quantized_3band,16384,7847,716,7821,0,0.479,0.044,0.477,0
fasseg,ccc74a08baeb56c74bb5,true,,,jpeg_quantized_3band,16384,8587,887,6910,0,0.524,0.054,0.422,0
fasseg,241db1e5db9c8749739a,true,,,jpeg_quantized_3band,16384,8691,598,7095,0,0.53,0.036,0.433,0
fasseg,2f7d9307a001a49bb1db,true,,,jpeg_quantized_3band,16384,7783,742,7859,0,0.475,0.045,0.48,0
fasseg,7103f634c0a0c4b91700,true,,,jpeg_quantized_3band,16384,7574,838,7972,0,0.462,0.051,0.487,0
fasseg,3a1bfed00014f8711657,true,,,jpeg_quantized_3band,16384,8018,664,7702,0,0.489,0.041,0.47,0
fasseg,8eb7d9bd7547ac5fe4e2,true,,,jpeg_quantized_3band,16384,13034,962,2388,0,0.796,0.059,0.146,0
fasseg,f5ef2bc678e4f4fb37a4,true,,,jpeg_quantized_3band,16384,12445,835,3104,0,0.76,0.051,0.189,0
fasseg,ed634a7589dc803841b8,true,,,jpeg_quantized_3band,16384,11886,1006,3492,0,0.725,0.061,0.213,0
fasseg,5dc39d411e364ea03837,true,,,jpeg_quantized_3band,16384,7729,726,7929,0,0.472,0.044,0.484,0
fasseg,f9060c681b15b30ccfe7,true,,,jpeg_quantized_3band,16384,11522,786,4076,0,0.703,0.048,0.249,0
fasseg,b7eab19336988f6b4b5b,true,,,jpeg_quantized_3band,16384,6927,858,8599,0,0.423,0.052,0.525,0
fasseg,5db926862c5453c7171c,true,,,jpeg_quantized_3band,16384,13112,852,2420,0,0.8,0.052,0.148,0
fasseg,c489afd8e16ad7240d0d,true,,,jpeg_quantized_3band,16384,11879,980,3525,0,0.725,0.06,0.215,0
fasseg,380ccceda9b07de509eb,true,,,jpeg_quantized_3band,16384,12948,856,2580,0,0.79,0.052,0.157,0
fasseg,f1841bca954fdfa9ca63,true,,,jpeg_quantized_3band,16384,11375,796,4213,0,0.694,0.049,0.257,0
fasseg,a0658f56f4e3b8e9b5f5,true,,,jpeg_quantized_3band,16384,8692,919,6773,0,0.531,0.056,0.413,0
fasseg,720eba437144357e33c9,true,,,jpeg_quantized_3band,16384,11305,788,4291,0,0.69,0.048,0.262,0
fasseg,45f156bf4c5264b6f67a,true,,,jpeg_quantized_3band,16384,12149,777,3458,0,0.742,0.047,0.211,0
fasseg,19f0057252f9a070d763,true,,,jpeg_quantized_3band,16384,12391,812,3181,0,0.756,0.05,0.194,0
fasseg,fecddeb27f604d7ace27,true,,,jpeg_quantized_3band,16384,10177,732,5475,0,0.621,0.045,0.334,0
fasseg,994544542f153a8f5d71,true,,,jpeg_quantized_3band,16384,12740,944,2700,0,0.778,0.058,0.165,0
fasseg,e24b946bdef7dd5ed9ab,true,,,jpeg_quantized_3band,16384,7879,824,7681,0,0.481,0.05,0.469,0
fasseg,92df555f88b245783bf0,true,,,jpeg_quantized_3band,16384,6982,669,8733,0,0.426,0.041,0.533,0
fasseg,ac7093bfc0c67d7ea7d7,true,,,jpeg_quantized_3band,16384,12545,785,3054,0,0.766,0.048,0.186,0
fasseg,bfbce1dcf6b17160908e,true,,,jpeg_quantized_3band,16384,7640,653,8091,0,0.466,0.04,0.494,0
fasseg,f0a55c078adfeaedd42b,true,,,jpeg_quantized_3band,16384,10371,801,5212,0,0.633,0.049,0.318,0
fasseg,34d5dab3b07cddd2b5d1,true,,,jpeg_quantized_3band,16384,10264,784,5336,0,0.626,0.048,0.326,0
fasseg,25041445a7ecbdb43c35,true,,,jpeg_quantized_3band,16384,9293,710,6381,0,0.567,0.043,0.389,0
fasseg,ae0503ad50f9a9dbbfcf,true,,,jpeg_quantized_3band,16384,7275,865,8244,0,0.444,0.053,0.503,0
fasseg,5e3277358749c502044a,true,,,jpeg_quantized_3band,16384,9976,782,5626,0,0.609,0.048,0.343,0
fasseg,7a6374bc85784194bbd5,true,,,jpeg_quantized_3band,16384,8865,713,6806,0,0.541,0.044,0.415,0
fasseg,5137a0cf3dd78266a5a8,true,,,jpeg_quantized_3band,16384,12071,919,3394,0,0.737,0.056,0.207,0
fasseg,0418b3cc814dd2dcec67,true,,,jpeg_quantized_3band,16384,11225,836,4323,0,0.685,0.051,0.264,0
fasseg,68c6746093c5882458b3,true,,,jpeg_quantized_3band,16384,7879,981,7524,0,0.481,0.06,0.459,0
fasseg,7be99cdb325ec5b03ca8,true,,,jpeg_quantized_3band,16384,9289,908,6187,0,0.567,0.055,0.378,0
fasseg,ab8598b1122c031598f8,true,,,jpeg_quantized_3band,16384,9182,827,6375,0,0.56,0.05,0.389,0
fasseg,858b856ec72b3a6466df,true,,,jpeg_quantized_3band,16384,9741,747,5896,0,0.595,0.046,0.36,0
fasseg,bc8519b6f1f3ed238b0a,true,,,jpeg_quantized_3band,16384,9714,664,6006,0,0.593,0.041,0.367,0
fasseg,d2925d002708262688d9,true,,,jpeg_quantized_3band,16384,10935,878,4571,0,0.667,0.054,0.279,0
fasseg,edb358da15aa38936c9d,true,,,jpeg_quantized_3band,16384,10569,961,4854,0,0.645,0.059,0.296,0
fasseg,aeebe5b6abcda77b549c,true,,,jpeg_quantized_3band,16384,9827,870,5687,0,0.6,0.053,0.347,0
fasseg,b2f8c639956cff72da58,true,,,jpeg_quantized_3band,16384,11380,779,4225,0,0.695,0.048,0.258,0
fasseg,6072c1bd1e09d83cfb05,true,,,jpeg_quantized_3band,16384,10809,619,4956,0,0.66,0.038,0.302,0
fasseg,34281d37e91584c1380b,true,,,jpeg_quantized_3band,16384,6840,844,8700,0,0.417,0.052,0.531,0
